item-71,Military crossXrace-10 KM - MIC (Military Iron Cross) individuale non competitivo - esclusiva partenza in 2° batteria,Cesano - Roma,Other endurance,2018-03-23T23:00:00,2018-03-24T22:59:59
item-72,Military crossXrace-10 KM - SIC (Super Iron Cross) individuale non competitivo - esclusiva partenza in 1° batteria,Cesano - Roma,Other endurance,2018-03-23T23:00:00,2018-03-24T22:59:59
item-73,Registration - Without Hotel - HALF,Pula,Other endurance,2018-10-26T22:00:00,2018-10-28T22:59:59
item-74,Discounted Registration - With 3 Nights at 4* Hotel (FREE Upgrade to 5* until 31/03/18!) - HALF FV,Pula,Other endurance,2018-10-26T22:00:00,2018-10-28T22:59:59
item-75,Camp Fee,Cortina d'Ampezzo,Soccer,2018-06-17T00:00:00,2018-06-23T23:59:00
item-76,Camp Fee,Gallio,Soccer,2018-07-22T00:00:00,2018-07-28T23:59:00
item-77,Camp Fee,Cortina d'Ampezzo,Soccer,2018-06-24T00:00:00,2018-06-30T23:59:00
item-78,Camp Fee,Cortina d'Ampezzo,Soccer,2018-07-08T00:00:00,2018-07-14T23:59:00
item-79,Camp Fee,Jesolo Lido,Soccer,2018-07-08T00:00:00,2018-07-14T23:59:00
item-80,CHALLENGE VENICE FULL DISTANCE (3.8-180-42,Venice,Triathlon,2018-06-02T22:00:00,2018-06-03T21:59:59
item-81,Milan Junior Camp Cortina D'Ampezzo Day Camp Session 2,Cortina d'Ampezzo,Soccer,2018-06-24T00:00:00,2018-06-30T23:59:00
item-82,Milan Junior Camp Jesolo Lido Session 4,Jesolo Lido,Soccer,2018-07-08T00:00:00,2018-07-14T23:59:00
item-83,Milan Junior Camp Lignano Sabbiadoro Day Camp Session 8,Lignano Sabbiadoro,Soccer,2018-08-05T00:00:00,2018-08-11T23:59:00
item-84,Milan Junior Camp Cortina D'Ampezzo Session 3,Cortina d'Ampezzo,Soccer,2018-07-01T00:00:00,2018-07-07T23:59:00
item-85,Triathlon-Distanza: media/mezza - Gara Individuale,Lago Maggiore,Triathlon,2018-07-21T22:00:00,2018-07-22T21:59:59
item-86,Etna Extreme 100 km - Individuale Fascia di età/aperto,Sicilia,Running,2018-09-08T22:00:00,2018-09-09T21:59:59
item-87,Discounted Registration - With 5 Nights at 4* Hotel (FREE Upgrade to 5* until 31/03/18!) - RELAY FV,Pula,Other endurance,2018-10-26T22:00:00,2018-10-28T22:59:59
item-88,Land Only,Lipomo,Volleyball,2018-07-03T00:00:00,2018-07-12T23:59:00
item-89,Camp Fee,Lignano Sabbiadoro,Soccer,2018-08-05T00:00:00,2018-08-11T23:59:00
item-90,Camp Fee,Gallio,Soccer,2018-07-22T00:00:00,2018-07-28T23:59:00
item-91,Camp Fee,Jesolo Lido,Soccer,2018-07-15T00:00:00,2018-07-21T23:59:00
item-92,Camp Fee,Cortina d'Ampezzo,Soccer,2018-07-01T00:00:00,2018-07-07T23:59:00
item-93,AronaMen 112.9 Triathlon,Lago Maggiore,Triathlon,2018-07-21T22:00:00,2018-07-22T21:59:59
item-94,PAGAMENTO RATEALE - INSTALMENT PAYMENT - CHALLENGE VENICE FULL DISTANCE,Venice,Triathlon,2018-06-02T22:00:00,2018-06-03T21:59:59
item-95,Etna Extreme - 100 Km del Vulcano,Sicilia,Running,2018-09-08T22:00:00,2018-09-09T21:59:59
item-96,Original Gram - Classica 2018 (8 km),Centro città,Mud running,2018-05-19T23:00:00,2018-05-20T22:59:59
item-97,Milan Junior Camp Lignano Sabbiadoro Session 6,Lignano Sabbiadoro,Soccer,2018-07-22T00:00:00,2018-07-28T23:59:00
item-98,Milan Junior Camp Cortina D'Ampezzo Day Camp Session 4,Cortina d'Ampezzo,Soccer,2018-07-08T00:00:00,2018-07-14T23:59:00
item-99,Milan Junior Camp Cortina D'Ampezzo Day Camp Session 3,Cortina d'Ampezzo,Soccer,2018-07-01T00:00:00,2018-07-07T23:59:00
item-100,Milan Junior Camp Gallio Session 5,Gallio,Soccer,2018-07-15T00:00:00,2018-07-21T23:59:00
item-101,Normodotati - Individuale promozionale € 10,Toscana,Cycling,2019-07-06T22:00:00,2019-07-07T21:59:59
item-102,Diversamente Abili - Iscrizione individuale € 0,Toscana,Cycling,2019-07-06T22:00:00,2019-07-07T21:59:59
item-103,Diversamente Abili - Iscrizione individuale con accompagnatore € 10,Toscana,Cycling,2019-07-06T22:00:00,2019-07-07T21:59:59
item-104,Gara a staffetta - Gara a staffetta,Lago Maggiore,Triathlon,2018-07-21T22:00:00,2018-07-22T21:59:59
item-105,Corsa-10K - Individuale Fascia di età/aperto,Comune,Running,2018-04-06T22:00:00,2018-04-07T21:59:59
item-106,Normodotati - Iscrizione di squadra promozionale € 10,Toscana,Cycling,2019-07-06T22:00:00,2019-07-07T21:59:59
item-107,Normodotati - Iscrizione di squadra € 15,Toscana,Cycling,2019-07-06T22:00:00,2019-07-07T21:59:59
item-108,Land Only,Lipomo,Soccer,2018-03-09T00:00:00,2018-03-18T23:59:00
item-109,Granfondo delle Pievi,Toscana,Cycling,2019-07-06T22:00:00,2019-07-07T21:59:59
item-110,2018 VCU WS,Lipomo,Soccer,2018-03-09T00:00:00,2018-03-10T23:59:00
item-111,Triathlon-Distanza: lunga / completa - Individuale Fascia di età/aperto,perugia,Triathlon,2018-10-12T23:00:00,2018-10-13T22:59:59
item-112,Full Tour,Lipomo,Soccer,2018-03-09T00:00:00,2018-03-18T23:59:00
item-113,Ultrafranciacorta,Comune,Distance running,2018-04-06T22:00:00,2018-04-07T21:59:59
item-114,legacy program 2018 ironman championchip,Perugia,Triathlon,2018-10-12T23:00:00,2018-10-13T22:59:59
item-115,Normodotati - Iscrizione individuale € 15,Toscana,Cycling,2019-07-06T22:00:00,2019-07-07T21:59:59
item-116,Triathlon-Distanza: media/mezza - Gara Individuale,Lago Maggiore,Triathlon,2018-07-21T22:00:00,2018-07-22T21:59:59
item-117,Full Tour,Lipomo,Soccer,2018-03-09T00:00:00,2018-03-10T23:59:00
item-118,Land Only,Lipomo,Soccer,2018-03-09T00:00:00,2018-03-10T23:59:00
item-119,2018 IWU WS,Lipomo,Soccer,2018-03-09T00:00:00,2018-03-18T23:59:00
